territory,total area (km2)
Piemonte  ,"25,386.728"
Valle d'Aosta ,"3,260.8426"
Liguria,"5,417.6165"
Lombardia,"23,863.0919"
Trentino Alto Adige,"13,604.705"
Veneto,"18,355.2293"
Friuli-Venezia Giulia,"7,933.2959"
Emilia-Romagna,"22,501.8136"
Toscana,"22,989.7753"
Umbria,"8,464.2026"
Marche,"9,346.0194"
Lazio,"17,239.3387"
Abruzzo,"10,831.7158"
Molise,"4,460.563"
Campania,"13,675.6929"
Puglia,"19,542.6469"
Basilicata,"10,073.1768"
Calabria,"15,219.2985"
Sicilia,"25,835.2801"
Sardegna,"24,108.5367"
